codigo_muni,municipio,departamento,codigo_depto,codigo_muni_in_depto
101,Guatemala,Guatemala,1,1
102,Santa Catarina Pinula,Guatemala,1,2
103,San José Pinula,Guatemala,1,3
104,San José del Golfo,Guatemala,1,4
105,Palencia,Guatemala,1,5
106,Chinautla,Guatemala,1,6
107,San Pedro Ayampuc,Guatemala,1,7
108,Mixco,Guatemala,1,8
109,San Pedro Sacatepéquez,Guatemala,1,9
110,San Juan Sacatepéquez,Guatemala,1,10
111,San Raymundo,Guatemala,1,11
112,Chuarrancho,Guatemala,1,12
113,Fraijanes,Guatemala,1,13
114,Amatitlán,Guatemala,1,14
115,Villa Nueva,Guatemala,1,15
116,Villa Canales,Guatemala,1,16
117,San Miguel Petapa,Guatemala,1,17
201,Guastatoya,El Progreso,2,1
202,Morazán,El Progreso,2,2
203,San Agustín Acasaguastlán,El Progreso,2,3
204,San Cristóbal Acasaguastlán,El Progreso,2,4
205,El Jícaro,El Progreso,2,5
206,Sansare,El Progreso,2,6
207,Sanarate,El Progreso,2,7
208,San Antonio la Paz,El Progreso,2,8
301,Antigua Guatemala,Sacatepéquez,3,1
302,Jocotenango,Sacatepéquez,3,2
303,Pastores,Sacatepéquez,3,3
304,Sumpango,Sacatepéquez,3,4
305,Santo Domingo Xenacoj,Sacatepéquez,3,5
306,Santiago Sacatepéquez,Sacatepéquez,3,6
307,San Bartolomé Milpas Altas,Sacatepéquez,3,7
308,San Lucas Sacatepéquez,Sacatepéquez,3,8
309,Santa Lucía Milpas Altas,Sacatepéquez,3,9
310,Magdalena Milpas Altas,Sacatepéquez,3,10
311,Santa María de Jesús,Sacatepéquez,3,11
312,Ciudad Vieja,Sacatepéquez,3,12
313,San Miguel Dueñas,Sacatepéquez,3,13
314,San Juan Alotenango,Sacatepéquez,3,14
315,San Antonio Aguas Calientes,Sacatepéquez,3,15
316,Santa Catarina Barahona,Sacatepéquez,3,16
401,Chimaltenango,Chimaltenango,4,1
402,San José Poaquil,Chimaltenango,4,2
403,San Martín Jilotepeque,Chimaltenango,4,3
404,San Juan Comalapa,Chimaltenango,4,4
405,Santa Apolonia,Chimaltenango,4,5
406,Tecpán Guatemala,Chimaltenango,4,6
407,Patzún,Chimaltenango,4,7
408,San Miguel Pochuta,Chimaltenango,4,8
409,Patzicía,Chimaltenango,4,9
410,Santa Cruz Balanyá,Chimaltenango,4,10
411,Acatenango,Chimaltenango,4,11
412,San Pedro Yepocapa,Chimaltenango,4,12
413,San Andrés Itzapa,Chimaltenango,4,13
414,Parramos,Chimaltenango,4,14
415,Zaragoza,Chimaltenango,4,15
416,El Tejar,Chimaltenango,4,16
501,Escuintla,Escuintla,5,1
502,Santa Lucía Cotzumalguapa,Escuintla,5,2
503,La Democracia,Escuintla,5,3
504,Siquinalá,Escuintla,5,4
505,Masagua,Escuintla,5,5
506,Tiquisate,Escuintla,5,6
507,La Gomera,Escuintla,5,7
508,Guanagazapa,Escuintla,5,8
509,San José,Escuintla,5,9
510,Iztapa,Escuintla,5,10
511,Palín,Escuintla,5,11
512,San Vicente Pacaya,Escuintla,5,12
513,Nueva Concepción,Escuintla,5,13
514,Sipacate,Escuintla,5,14
601,Cuilapa,Santa Rosa,6,1
602,Barberena,Santa Rosa,6,2
603,Santa Rosa de Lima,Santa Rosa,6,3
604,Casillas,Santa Rosa,6,4
605,San Rafael Las Flores,Santa Rosa,6,5
606,Oratorio,Santa Rosa,6,6
607,San Juan Tecuaco,Santa Rosa,6,7
608,Chiquimulilla,Santa Rosa,6,8
609,Taxisco,Santa Rosa,6,9
610,Santa María Ixhuatán,Santa Rosa,6,10
